gene,species,timepoint,expression
gene_1,species_1,t0,0.0
gene_1,species_1,t1,1.2346466502299474
gene_1,species_1,t2,0.0
gene_1,species_1,t3,0.21191906036247474
gene_1,species_2,t0,0.021023334661427313
gene_1,species_2,t1,1.1195898382046496
gene_1,species_2,t2,2.0398033891378757
gene_1,species_2,t3,0.0
gene_1,species_3,t0,0.978595280596508
gene_1,species_3,t1,0.5865092146850887
gene_1,species_3,t2,1.8450035232575832
gene_1,species_3,t3,0.044962045160302194
gene_2,species_1,t0,0.0
gene_2,species_1,t1,5.492146934003014
gene_2,species_1,t2,3.6801099887730513
gene_2,species_1,t3,0.8686409716443521
gene_2,species_2,t0,0.7890275562121174
gene_2,species_2,t1,0.6189406272922288
gene_2,species_2,t2,1.7748997587386475
gene_2,species_2,t3,0.0
gene_2,species_3,t0,2.2393654038035664
gene_2,species_3,t1,1.6232455424770025
gene_2,species_3,t2,6.131747638980602
gene_2,species_3,t3,1.6378839532225031
gene_3,species_1,t0,1.8482091288850269
gene_3,species_1,t1,4.773422392099305
gene_3,species_1,t2,2.15240868878144
gene_3,species_1,t3,0.5140925332111048
gene_3,species_2,t0,0.7131516174812954
gene_3,species_2,t1,1.4165935470735591
gene_3,species_2,t2,2.795621266122238
gene_3,species_2,t3,0.0
gene_3,species_3,t0,2.3394567467502383
gene_3,species_3,t1,0.3408181982828258
gene_3,species_3,t2,0.0
gene_3,species_3,t3,0.0
gene_4,species_1,t0,0.21356213935115198
gene_4,species_1,t1,0.24473018210814293
gene_4,species_1,t2,1.0845694450159984
gene_4,species_1,t3,0.0
gene_4,species_2,t0,0.3407108604250986
gene_4,species_2,t1,0.4306411736050688
gene_4,species_2,t2,0.3873264833261246
gene_4,species_2,t3,0.20232612653819834
gene_4,species_3,t0,0.1491919456634147
gene_4,species_3,t1,0.0
gene_4,species_3,t2,0.0
gene_4,species_3,t3,0.5798577412838443
gene_5,species_1,t0,0.5263613806211075
gene_5,species_1,t1,1.7350561817003853
gene_5,species_1,t2,0.0
gene_5,species_1,t3,0.19415654615047756
gene_5,species_2,t0,0.0
gene_5,species_2,t1,1.3616480448181056
gene_5,species_2,t2,2.589691858032664
gene_5,species_2,t3,1.0640568091317113
gene_5,species_3,t0,1.0946360149816787
gene_5,species_3,t1,0.7793921704631855
gene_5,species_3,t2,2.9806781586439626
gene_5,species_3,t3,0.3835285576799413
gene_6,species_1,t0,3.3496391400368672
gene_6,species_1,t1,0.0
gene_6,species_1,t2,0.0
gene_6,species_1,t3,2.2942770735100533
gene_6,species_2,t0,0.0
gene_6,species_2,t1,0.0
gene_6,species_2,t2,0.0
gene_6,species_2,t3,1.810096657385855
gene_6,species_3,t0,3.184705028693198
gene_6,species_3,t1,4.6635565357987145
gene_6,species_3,t2,4.122990016447093
gene_6,species_3,t3,0.0
gene_7,species_1,t0,0.0
gene_7,species_1,t1,0.0
gene_7,species_1,t2,2.5237877271028766
gene_7,species_1,t3,0.0
gene_7,species_2,t0,0.07485771557403012
gene_7,species_2,t1,1.2098677528003372
gene_7,species_2,t2,0.6212717532131588
gene_7,species_2,t3,0.004265838614666756
gene_7,species_3,t0,0.0
gene_7,species_3,t1,2.9031766587853878
gene_7,species_3,t2,0.0
gene_7,species_3,t3,0.29989941093122574
gene_8,species_1,t0,2.145236103281654
gene_8,species_1,t1,2.9533263790670055
gene_8,species_1,t2,4.041761915474967
gene_8,species_1,t3,0.8309614283721621
gene_8,species_2,t0,0.2524885968042628
gene_8,species_2,t1,0.0
gene_8,species_2,t2,1.96436118843365
gene_8,species_2,t3,1.0960967002038964
gene_8,species_3,t0,0.7942348300002878
gene_8,species_3,t1,4.474714747695681
gene_8,species_3,t2,0.6717026915068685
gene_8,species_3,t3,0.5540231025223132
gene_9,species_1,t0,1.284127857541729
gene_9,species_1,t1,0.0
gene_9,species_1,t2,0.0
gene_9,species_1,t3,0.4474463232129348
gene_9,species_2,t0,0.7222008902990749
gene_9,species_2,t1,0.4335843163734392
gene_9,species_2,t2,0.0
gene_9,species_2,t3,0.057779350694081535
gene_9,species_3,t0,1.3506268745012175
gene_9,species_3,t1,0.3798809741487481
gene_9,species_3,t2,4.096688506588054
gene_9,species_3,t3,1.2075479453011537
gene_10,species_1,t0,0.0
gene_10,species_1,t1,0.0
gene_10,species_1,t2,0.0
