gene,species,timepoint,expression
gene_1,species_1,t0,0.947999065854884
gene_1,species_1,t1,2.220443120768588
gene_1,species_1,t2,1.0494480938562645
gene_1,species_1,t3,1.1586505872688113
gene_1,species_2,t0,0.7790786394022687
gene_1,species_2,t1,1.5237731594634565
gene_1,species_2,t2,0.3118995074819057
gene_1,species_2,t3,0.5811936366055208
gene_1,species_3,t0,0.0
gene_1,species_3,t1,0.49895485984837024
gene_1,species_3,t2,0.0
gene_1,species_3,t3,0.5031995487931271
gene_2,species_1,t0,0.3938171992390233
gene_2,species_1,t1,0.0
gene_2,species_1,t2,2.167619526377096
gene_2,species_1,t3,1.7059464333257746
gene_2,species_2,t0,0.3826509784234562
gene_2,species_2,t1,0.3295739139956752
gene_2,species_2,t2,0.37578744304173906
gene_2,species_2,t3,0.1663119623692211
gene_2,species_3,t0,0.47115922009697203
gene_2,species_3,t1,2.0089691222522377
gene_2,species_3,t2,1.2761463552749575
gene_2,species_3,t3,1.05533691063803
gene_3,species_1,t0,0.5741661126040976
gene_3,species_1,t1,3.178908161274549
gene_3,species_1,t2,0.0
gene_3,species_1,t3,1.0040816770342444
gene_3,species_2,t0,0.292695861887356
gene_3,species_2,t1,0.34207655561356487
gene_3,species_2,t2,1.1544738056345218
gene_3,species_2,t3,0.0
gene_3,species_3,t0,0.4125590127948259
gene_3,species_3,t1,0.0
gene_3,species_3,t2,0.7092225948629275
gene_3,species_3,t3,0.9939687700639129
gene_4,species_1,t0,0.0
gene_4,species_1,t1,0.1408341932737659
gene_4,species_1,t2,1.341141115257757
gene_4,species_1,t3,0.667773928405666
gene_4,species_2,t0,0.7539160655812238
gene_4,species_2,t1,1.1127056167989766
gene_4,species_2,t2,0.5434776201763807
gene_4,species_2,t3,0.058515420967855294
gene_4,species_3,t0,0.208110400934535
gene_4,species_3,t1,0.8889153381854178
gene_4,species_3,t2,0.0
gene_4,species_3,t3,0.7409793518614962
gene_5,species_1,t0,2.258373321263749
gene_5,species_1,t1,3.279081086726253
gene_5,species_1,t2,0.0
gene_5,species_1,t3,0.41102678312377916
gene_5,species_2,t0,0.0
gene_5,species_2,t1,4.520110505745442
gene_5,species_2,t2,1.970309749349138
gene_5,species_2,t3,0.0
gene_5,species_3,t0,0.23836609921721763
gene_5,species_3,t1,0.4001932365246291
gene_5,species_3,t2,0.0
gene_5,species_3,t3,0.6294724642356098
gene_6,species_1,t0,0.34281470065432323
gene_6,species_1,t1,1.1169730186456654
gene_6,species_1,t2,0.8136314021848103
gene_6,species_1,t3,0.056142125684278565
gene_6,species_2,t0,0.0
gene_6,species_2,t1,0.07552856973994913
gene_6,species_2,t2,1.3958320230500139
gene_6,species_2,t3,0.0
gene_6,species_3,t0,0.0
gene_6,species_3,t1,1.0457276970327636
gene_6,species_3,t2,0.0
gene_6,species_3,t3,0.0
gene_7,species_1,t0,0.5565555694295018
gene_7,species_1,t1,0.014015000133402202
gene_7,species_1,t2,1.480782326438495
gene_7,species_1,t3,0.37873016646283875
gene_7,species_2,t0,1.2057723689913378
gene_7,species_2,t1,0.0
gene_7,species_2,t2,2.5798880020239974
gene_7,species_2,t3,1.7741683481441564
gene_7,species_3,t0,0.6613656535199686
gene_7,species_3,t1,1.615128837156488
gene_7,species_3,t2,0.0
gene_7,species_3,t3,0.48578940614320687
gene_8,species_1,t0,0.0
